Date,Avg_PM25,Avg_CO,Avg_CO2,Avg_TVOC
04-01,20.1,464.71,597.43,23.14
04-02,20.63,472.71,604.71,23.43
04-03,21.11,466.14,596.71,23.71
04-04,17.73,443.71,582.86,22.29
04-05,17.12,443.0,586.0,21.14
04-06,20.87,469.29,606.14,23.29
04-07,19.85,468.14,601.14,24.86
04-08,20.83,462.86,603.57,23.29
04-09,19.48,470.29,598.29,23.0
04-10,21.76,458.0,592.86,23.57
04-11,17.89,445.57,578.14,20.43
04-12,19.31,442.0,576.57,19.57
04-13,22.63,454.29,594.29,22.29
04-14,19.72,453.29,601.14,22.14
04-15,19.15,460.43,600.14,23.14
04-16,19.97,465.57,593.71,21.29
04-17,19.21,467.0,599.43,23.0
04-18,15.38,449.14,580.43,19.71
04-19,16.11,441.86,587.57,20.57
04-20,18.63,453.86,585.43,23.0
04-21,17.69,467.14,587.0,21.86
04-22,18.1,445.0,570.0,21.0
04-23,20.0,446.14,574.86,20.29
04-24,19.24,450.43,577.43,20.86
04-25,12.77,429.57,569.14,18.71
04-26,13.27,427.43,559.14,17.86
04-27,15.51,446.86,591.29,20.43
04-28,18.33,452.29,574.14,21.86
04-29,17.26,452.71,581.0,20.71
04-30,18.77,465.71,586.57,20.57
